Genome, Fitness, Wins (X), Losses (X), Draws (X)
427668134445446288647725434383668364331724777824262003534588657286876672632871614111423667467473723756786111733373271866365863331786586633388407666384875602862233548637737573556824585882754457865247767568528758878856660174652552583846671164845455888768657755435537568772283245134883365518743651171366285743473200887884668023768024002622885684677745654374785575545364485228744728725746868872625258464758487668757117281162816233101154648474240461863511131613825575577578765577668365867354734388682352313121151575273526678667482726824687578002886578875676565444874118857675855745534822785882772588878442676477736656807888582624467578685378186313328665347463638867773881746354355554833617622867646867588768447418775548278278440748888871136478267518746584999999999999999, 0.12, 152, 24, 24
427668134445446288647725434383668364331724777824262003534588657286876672632871614111423667467473723756786111733373271866365863331786586633388407666384875602862233548637737573556824585882754457865247767568528758878856660174652552583846671164845455888768657755435537568772283245134883365518743651171366285743473200887884668023768024002622885684677745654374785575545364485228744728725746868872625258464758487668757117281162816233101154648474240461863511131613825575577578765577668365867354734388682352313121151575273526678667482726824687578002886578875676565444874118857675855745534822785882772588878442676477736656807888582624467578685378186313328665347463638867773881746354355554833617622867646867588768447418775548278278440748888871136478267518746584999999999999999, 0.12, 152, 24, 24
847744546206051774271154355733816625141765458372658248588858546757256676826741415211774274668435438743551638751114351327527622378722787828666040863274652024800500687576364768786874574862765257546228674627885721673773755528586018584412146141753587165674657345836658738573252243647583185718884761565352282746236648867888546786768032048782776666845478844874566533473563588226447844225728628662578256466854487646365111788726166627858418647585260481162664133678123867658678133638868864465333546381733254361335533546872546876787878226224760670420887836877678544447874148857678445776554525877877772827474444706044338566688786586668488584685871186372528565346468558287573581848377353556552665622887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.14885496183206107, 171, 39, 52
847744546206051774271154355733816625141765458372658248588858546757256676826741415211774274668435438743551638751114351327527622378722787828666040863274652024800500687576364768786874574862765257546228674627885721673773755528586018584412146141753587165674657345836658738573252243647583185718884761565352282746236648867888546786768032048782776666845478844874566533473563588226447844225728628662578256466854487646365111788726166627858418647585260481162664133678123867658678133638868864465333546381733254361335533546872546876787878226224760670420887836877678544447874148857678445776554525877877772827474444706044338566688786586668488584685871186372528565346468558287573581848377353556552665622887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.14885496183206107, 171, 39, 52
415058142586733274335743716537817225633521430864456763785478548286752348884546684812124475153683333747383576113322234863668464210766235655546768866276625720672657878478835848466356824766268257667826726548815776103113738518458018582146117788853857863671353737588737166782383365452538357518345471121388652726634605788868526776075068006662876787685458854334857358458363555858444288424578862626765258462658648728888877887187658227781148844855268261623514414183425865673675785678667331435533456388637234361135133571823523878687884222676608572220787538877578844884457118777575447475534822777872657827844852704447336662608786566624867578685358576372368661347768655266523817746354353456553615628887842867588768447418775548278278440748888871136478267518746584999999999999999, 0.16176470588235295, 188, 44, 40
215166885645801774271233558343512523848331578372658242665888554457256676826741415211774274668435438743551674481123373782138672378722787858666045863275628686072500687586364768746886542682285247577648474627885721252162720728546552847152117841736877165661485854455737138573253847737823515335884761568358753662662301848886226666666520772206776767475745654343556533473554525256887848474446666776726658262676574646788817887186166682785854848887260266122664133678123868557588588378448865437333546381787823711327518675862542876584878226224760670006887876387576564847454117855615445776557522775887652587844444606077346662808738586668488584685871586372368515347728638286577587848877353466832615662882682867588768447418775548278278440748888871136478267518746584999999999999999, 0.16371681415929204, 127, 37, 62
215166885645801774271233558343512523848331578372658242665888554457256676826741415211774274668435438743551674481123373782138672378722787858666045863275628686072500687586364768746886542682285247577648474627885721252162720728546552847152117841736877165661485854455737138573253847737823515335884761568358753662662301848886226666666520772206776767475745654343556533473554525256887848474446666776726658262676574646788817887186166682785854848887260266122664133678123868557588588378448865437333546381787823711327518675862542876584878226224760670006887876387576564847454117855615445776557522775887652587844444606077346662808738586668488584685871586372368515347728638286577587848877353466832615662882682867588768447418775548278278440748888871136478267518746584999999999999999, 0.16371681415929204, 127, 37, 62
645167275725221842548428275384516162248537256224658750887385558552752752723485611262863570165835353853813638751178775367617622264722787838666045863275652780260520645688788874765524544752756647677647262727125665158663667178444816813162111381156887888465847445836658748573253813442131567515834561568358753566222305848224565876686564228602686767647875656344556533473344557257447848222446668662568666464668644228355117228222166122185814884474660481867566731113154368658585783657663634847558735386627323345837531671262846758687878726224788002476887578875686845844877817875615455776334522785687677888478842774477348652888738582664888588265878586112568565347463658267523817846877875566833665268882642867588768447418775548278278440748888871136478267518746584999999999999999, 0.16535433070866143, 166, 42, 46
478531245826062635285863511825673562232661827876203350567587248555852272373517616784614265126645673237887511858724331835521236264628477756675768842312626077222052774535765845758528727858725855875747766545775271278178728614672058784147617188826888587684847783868474748775252313652533158725211513476338585548736581584868228863770732776768758566887476446338556553573764527828467784275425826766666626652756578228888185788267161687801856537575245366677511771671824367658881738658877364437833436386622323741835858576676842655668422787822760558402786538887686564884857848777678447775334885785887672828478444704477736566888888682664868574265351186113568511366428635867773517788874873456552515222787886867588768447418775548278278440748888871136478267518746584999999999999999, 0.17777777777777778, 124, 32, 24
065147666778323762546474551844216564281221628287265342734346674468715566773878885822674220736854522878517745413522274865580865834486432258665055875484056782204580747446535555558827475686566626446646276778117266103676827518584458582156731844443876168631657335465478758385842213753137558335284665526836553723673251764624275068765758806062855587448846855373757853858564487827784724724778662862775258454854584226368815727266658687188856537885220261822474114811854368853671765358868865447378434548787234315835531776866522755777624727272608500206886838877676564444474847875575447745357525775882777587874854704044338552807888662528487688668378186173361665366728635886723881846877873556833667268887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.1821705426356589, 171, 47, 40
