Genome, Fitness, Wins (X), Losses (X), Draws (X)
433665687825741237375745411144672575858217756260402726667448554455318558283071571728477230466434534838587886151314435667517244314857786336306748522686620567462020644878337555388884425287724468547748462767185821258162850611688812782616171363826355555835453337858557756523334867137317588315814477586858285683766250577776528783618522246288888567847876844343855538478544585826887244775575272622775226664878477666755181781726851623885158584874820466173671134873134368853585583374673334337574754356127222361317851775823026876578872482224087652270867538887688844444477148877575845446334582885682672828874842776044336666688786566628887684268371181173521561367763535867727817748857873556552517628787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0, 212, 0, 80
433665687825741237375745411144672575858217756260402726667448554455318558283071571728477230466434534838587886151314435667517244314857786336306748522686620567462020644878337555388884425287724468547748462767185821258162850611688812782616171363826355555835453337858557756523334867137317588315814477586858285683766250577776528783618522246288888567847876844343855538478544585826887244775575272622775226664878477666755181781726851623885158584874820466173671134873134368853585583374673334337574754356127222361317851775823026876578872482224087652270867538887688844444477148877575845446334582885682672828874842776044336666688786566628887684268371181173521561367763535867727817748857873556552517628787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0, 212, 0, 80
433865687825741256741647551875553575858258756206602726663442276757318558283071571728475255766434532858587686551314437667517244314562738736380757576286626227486087644878337555388854527757724267844748477767185821258162850614688812782817618883822885757835453337854557751332234867137527588315734471168832205683766250588666728783588560040688778567847876844343855538478744587856887224775775272762775228466854477666755181781726851623888418884884628415173461173873125875878571585634478664837574754356122222361335831671272522856568882762272087652276867576877588544444857147855615457775557882885682672528874842706477336662688886566628887678265371176373521561367423535886727517748857875556832567668762842867588768447418775548278278440748888871136478267518746584999999999999999, 0.015625, 180, 4, 72
433865687825741256741647551875553575858258756206602726663442276757318558283071571728475255766434532858587686551314437667517244314562738736380757576286626227486087644878337555388854527757724267844748477767185821258162850614688812782817618883822885757835453337854557751332234867137527588315734471168832205683766250588666728783588560040688778567847876844343855538478744587856887224775775272762775228466854477666755181781726851623888418884884628415173461173873125875878571585634478664837574754356122222361335831671272522856568882762272087652276867576877588544444857147855615457775557882885682672528874842706477336662688886566628887678265371176373521561367423535886727517748857875556832567668762842867588768447418775548278278440748888871136478267518746584999999999999999, 0.015625, 180, 4, 72
433666387820866256371227551775553575858217756200602726667442276557318558283071571728477255766435574838557636155323334657127244314562732236580764885842826227422057544875538853388354527687724268544848476767185621252713865771642816517647611813856877755835453337858557756523334867133317558315714471168832505686733500688666728783518562740688888567847876854343855538478544587226887244775775262622775228466854478766755181781722666133885156844454828415663671134873124365878551563374478864365334744686627222361315838541226026856568882762272000058076887536877588565444874818777675857446337582885682652527874842706477736666688786666568887674265851176373321561367423535886727881748857875554532567668787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.016129032258064516, 188, 4, 56
433666387823866256371745431111553535838217756200602726635475574455356588283071571728475255766434532858587686551313353367527244314562738888306748525842826227480587544846538853388354527688555627447828277428123825202666835771648082587617638848732388837431853337858557766387332867134527588315734471168832205686733548688666728783518560040688778567847856844343855538848744587858884847272575272762775228466854478666755181788722666133888416644454628415663661174873154365878551563374678631367833744686132222361335831671872522856568878287264600550072867536377588865444874817777575845446334582885682652527874842706047736652688786666624487674265851176313328565467423555886527517748857355466832667222762682867588768447418775548278278440748888871136478267518746584999999999999999, 0.016129032258064516, 180, 4, 64
433666387820866256371227551775553575858217756200602726667442276557318558283071571728477255766435574838557636155323334657127244314562732236580764885842826227422057544875538853388354527687724268544848476767185621252713865771642816517647611813856877755835453337858557756523334867133317558315714471168832505686733500688666728783518562740688888567847876854343855538478544587226887244775775262622775228466854478766755181781722666133885156844454828415663671134873124365878551563374478864365334744686627222361315838541226026856568882762272000058076887536877588565444874818777675857446337582885682652527874842706477736666688786666568887674265851176373321561367423535886727881748857875554532567668787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.016129032258064516, 188, 4, 56
433666387823866256371745431111553535838217756200602726635475574455356588283071571728475255766434532858587686551313353367527244314562738888306748525842826227480587544846538853388354527688555627447828277428123825202666835771648082587617638848732388837431853337858557766387332867134527588315734471168832205686733548688666728783518560040688778567847856844343855538848744587858884847272575272762775228466854478666755181788722666133888416644454628415663661174873154365878551563374678631367833744686132222361335831671872522856568878287264600550072867536377588865444874817777575845446334582885682652527874842706047736652688786666624487674265851176313328565467423555886527517748857355466832667222762682867588768447418775548278278440748888871136478267518746584999999999999999, 0.016129032258064516, 180, 4, 64
433665687823866256375227551875552526842515528660402228837648554455318558283011571722477230466434534838587686151311134667827244320857787888306748882684786207422057544846538853388354427687724268547748277428123825258162855771642816517647618863826357568834453337858557756523334867137327558315714471168832285683766250577774625883785862740688888567847846444344585875853355385828784244775775262622775228466854478666755881781722666133885858634474820466173671134873134368853575583374673364337574744686122222361315831541223026876577872482224087650076886538877688844444477148877575845446334582885682672528874842776044336662688786666568887678265851176173321561367423535886727881748857875556552517668787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.01694915254237288, 184, 4, 48
433665687823866257375227278131551535854458726200602726667475554455318558283071571728467255766434534838587686551314434655327245314562737888306748822684786207226087544846538853388354527887724268544848277428123825202866135771648082582617111848732388837431853337858757756533334867137317588315714471168832285686733548788666728783518562740688888567847846844343855538478744587858884244252575272622775228466854477666755181781722666133885856644454820466173671134873124365878571563374478664365333744686122222361315831641226022875584874287264080650076767536877588844847477148877575845446334582885682652527874842706477736566688786666568887674265851176373521511367763655886527817748857875556532567668787682867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 176, 4, 48
