Genome, Fitness, Wins (X), Losses (X), Draws (X)
460285174766443035277863511814618576641254887378083703478848686777373662623718577178824664636756735356336578578734135832520424631422488236680460676663708267270533884837738564468828777768754855864664252546527276883856730665846452714464438188425868585831847485458477558327253762733537788323715415526682255268476588588682545683618064876002855667647878454838886853845363585278787247754728868826665228656758544668367515288722816123755858537555825311123614773813824878568658163538677671837858534646627823343837831656273862858764678727274707000206766838887676545487877818777518447776537585887872752587478442676077348652607888682564467584285871186373361561466768655886523517748874355566532615628782882867588768447418775548278278440748888871136478267518746584999999999999999, 0.06944444444444445, 196, 20, 72
470285174766443035277863511814618574831254867378083703478848686777373357334545871174868720636383583356336578574334485832520424615422688236665455478315280607082000548476837563486524485886684855864664252546815226658753737771684816084464146743732568585831847485468477558327253762773531788738785615178282255268476588588682545683618064876066855667677878444838556853845363585278787247754728868826676858264878677768867185788722816123755458537477240285877614773813824878568658163538677665835354735356623834765835831755676843858674674266674767608476867578375686564487457148875518857445534522887872752587478452674077348552607888682568867688268351581372521565466768655886523517748874355566533615622862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.08571428571428572, 184, 24, 72
470285174766443035277863511814618574831254867378083703478848686777373357334545871174868720636383583356336578574334485832520424615422688236665455478315280607082000548476837563486524485886684855864664252546815226658753737771684816084464146743732568585831847485468477558327253762773531788738785615178282255268476588588682545683618064876066855667677878444838556853845363585278787247754728868826676858264878677768867185788722816123755458537477240285877614773813824878568658163538677665835354735356623834765835831755676843858674674266674767608476867578375686564487457148875518857445534522887872752587478452674077348552607888682568867688268351581372521565466768655886523517748874355566533615622862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.08571428571428572, 184, 24, 72
430148627248263268534167888435367145856467777808686723563352848235765278632477515812118764433733383373155714881173774826568476874472737656577557542615002264800532568635764763455377874856766627644227656445513778173873738565658063044847648361436485168635845333668665458335282815142887511728341515428866506548666340774882276623718768028028788584677476855373765555548555455277787827454746826672628226662856447748365517818222816287788456848855265481863414431683154565668651183554847671835378736658622333365117831751272523886564882787622607558400767876875688544847474147875578445476337885775672672888848454774044336662688836686524867578285858171373568511446728635286777881788357373454553665268762882867588768447418775548278278440748888871136478267518746584999999999999999, 0.10294117647058823, 196, 28, 48
447878515786421532574267737173537785661254658557850745733842244586288542734476887161848274128646435246851735878521784723861623628684677856346080526815270086604687847588568555355856782676526466576684477467788665888856625165578082783652138188126868755678857357668765466582344717647583117378311761166663782788424355772262525873578750220622886786477775446748856358558564358726467224455448878762565228642764684227365115721262156632888846584454625465873471413671854577678581735354877861344373544646733252343811151741262862888764874422626600050200786536387688864487874148855518845775357582885682677528448452706077738552688836562564468688288371581372328561346728658867527581888877873554532515622782846867588768447418775548278278440748888871136478267518746584999999999999999, 0.1346153846153846, 140, 28, 40
427645183353301844778137311583238272863564228864486308687656847452666278338475645712114255526683528841856845884528771766835375111667532733746067583664650506608557747575337758443824544867586446876284227467578876657173657678858013762647146884443855187634648853684537738725282242657388185735813665171253586666464388562272626688666838002262658677887778886878586375853743558226767248255748662866726264454756684748758571818167866637188118547584648311872574771673153878878571133658478861464554535351733233711827538656823066688787674766666000678422787536887688844444877818757678445475554585777687777827844854704477738662607788562528488584665358571113521611367723638266777811848377373556833665622862846867588768447418775548278278440748888871136478267518746584999999999999999, 0.1724137931034483, 160, 40, 32
427645183353301844778137311583238272863564228864486308687656847452666278338475645712114255526683528841856845884528771766835375111667532733746067583664650506608557747575337758443824544867586446876284227467578876657173657678858013762647146884443855187634648853684537738725282242657388185735813665171253586666464388562272626688666838002262658677887778886878586375853743558226767248255748662866726264454756684748758571818167866637188118547584648311872574771673153878878571133658478861464554535351733233711827538656823066688787674766666000678422787536887688844444877818757678445475554585777687777827844854704477738662607788562528488584665358571113521611367723638266777811848377373556833665622862846867588768447418775548278278440748888871136478267518746584999999999999999, 0.1724137931034483, 160, 40, 32
875355687868843684775425451578376738842354234580468803564528267575856282776778484822624565545655674333337144885433117665631335270756656233587445465344202762604050547478588373486484725688586828675788477675818771678656827724488052762646146884826855857664473883634674558525253813674128587133343461686682655586634541674884528688716028042286875684847858654334557355443545528228864828724778876875725866456764487726858817828167116232851156848554240385873664413188434878873581538574648364844858746688182232213825853545622022656674878487822087500470787538375688565487854148877518455746357525877882752587844842604447748566888888662624468588688851581173561665447763658287573817786854875556833615662887646867588768447418775548278278440748888871136478267518746584999999999999999, 0.17288135593220338, 150, 51, 94
436388326402523758225735285113867583343260464402203863658886578766212584723045166464615750125838752331351675715533257356337674815767756875267688475246220664462035688545387864786454572656658247575228624448727768872813855115848582882614431764445357537668488387656468441887234787473527115721741565471838503263274640742678525822770558720760688686478878685344785555573544457226886788775576862722525624254666678726757815788766616287881448547487668486163666711873133588557875585678647875464573536348727822345117118555673566786684474427274668658420786878875576544847457817777615455475354825885887772888474442776474346652688888686564488588665851171112321615367463638887523511846857853556852615628862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.1794871794871795, 192, 56, 64
436388326402523758225735285113867583343260464402203863658886578766212584723045166464615750125838752331351675715533257356337674815767756875267688475246220664462035688545387864786454572656658247575228624448727768872813855115848582882614431764445357537668488387656468441887234787473527115721741565471838503263274640742678525822770558720760688686478878685344785555573544457226886788775576862722525624254666678726757815788766616287881448547487668486163666711873133588557875585678647875464573536348727822345117118555673566786684474427274668658420786878875576544847457817777615455475354825885887772888474442776474346652688888686564488588665851171112321615367463638887523511846857853556852615628862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.1794871794871795, 192, 56, 64
