Genome, Fitness, Wins (X), Losses (X), Draws (X)
426064185202002256845446754725268576861570588664785353655645486436256264648415544774728637456386638428835718115482317622311274325882256823568587376314680602220502578648754558485886444777625465684786424676778625277773725664572558012844131788753477158788675435635668167873552763742383717175845457525258782666222285567668243673768060222602655687875758884874556858858353485728444828425525266662678664454778688627358577211786661182788154644574648481873564411111123567568871768557847334435378555558127254243115831745673822885584878422666667558222887876387578545484874147875618857745337885775677657527478442706044746656688786666564468674288358586373528611467423555266727587888857375566552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.015873015873015872, 196, 4, 52
426064185202002256845446754725268576861570588664785353655645486436256264648415544774728637456386638428835718115482317622311274325882256823568587376314680602220502578648754558485886444777625465684786424676778625277773725664572558012844131788753477158788675435635668167873552763742383717175845457525258782666222285567668243673768060222602655687875758884874556858858353485728444828425525266662678664454778688627358577211786661182788154644574648481873564411111123567568871768557847334435378555558127254243115831745673822885584878422666667558222887876387578545484874147875618857745337885775677657527478442706044746656688786666564468674288358586373528611467423555266727587888857375566552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.015873015873015872, 196, 4, 52
426064185802002256245446754725268576814670588288785353657678586436256264648415544774728637456386788428835718783384317322321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778678266358587718722668683155844644574845286662564471181123567563871768557847861364378555558127254261115831745673866856584878422666667558222887876385588545447854848875618857745337885775677657527478442706044746566888736666564468674288358586373528611466428655266777811786857875466552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
426064185202002256845446754725268576814670588280785353657678586436256264648415544774728637456386788428835718783384317622321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778678266358587718722668683155844644574845286662564471111123567563871768557847861364378555558127254261115831745673866856584878422666667558222887876387578545447854848875618857745337885775677657527478442706044746566888786666564468674288358586373528611466428655266777811786857875466552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
426064185202002256845446754725268576814670588280785353657678586436256264648415544774728637456386788428835718783384317622321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778674266358587718722668683155844644574845286662564471111123567563881763557847861364378555558127254261115831745673866856584878422666667558222887876387578545447854848875618857745337885775677657527478442704044746566888786666564468674288378586373528611466428655266777811786857875466852567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
426064185202002256845446754725268576814670588280785353657678586436256264648415544774728637456386788428835718783384317622321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778678266358587718722668683155844644574845286662564471111123567563871768557847861364378555558127254261115831745673866856584878422666667558222887876387578545447854848875618857745337885775677657527478442706044746566888786666564468674288358586373528611466428655266777811786857875466552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
426064185202002256845446754725268576814670588280785353657678586436256264648415544774728637456386788428835718783384317622321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778674266358587718722668683155844644574845286662564471111123567563881763557847861364378555558127254261115831745673866856584878422666667558222887876387578545447854848875618857745337885775677657527478442704044746566888786666564468674288378586373528611466428655266777811786857875466852567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
426064185802002256245446754725268576814670588288785353657678586436256264648415544774728637456386788428835718783384317322321274325882256823568587376314680602220502588645754558485886444777625465684786454626778625602763767575552558012844171368753477158788675434635768167877534342443181717175783467481686576666222281882668743673785568048262655687875758854878887858858353485728764228425525266662678624664778678266358587718722668683155844644574845286662564471181123567563871768557847861364378555558127254261115831745673866856584878422666667558222887876385588545447854848875618857745337885775677657527478442706044746566888736666564468674288358586373528611466428655266777811786857875466552567628762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.017543859649122806, 180, 4, 44
458724747762803287684273514441311684731330226380460765475582477456882274786078416221463675165783683736561615834532255723880474324656777286387484562283225660626605568635587854445487877282554655677644257748117875808118757524674468542842137314833867768784643733456777448587558367642827167375835577561286286266422351687674563776616022820606855577845875884778556833858754458256746827222778278866528266454656444647885511211166651223881846684884265366663676711188424368863681768358843631364334746646722232243817153646876042778587884427222700058272866536885678845487877848857675857745534882875872657827478452676047746652687888566564468684285871581312321611467428635867727887746374853466853617622867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 164, 12, 48
458724747762803287684273514441311684731330226380460765475582477456882274786078416221463675165783683736561615834532255723880474324656777286387484562283225660626605568635587854445487877282554655677644257748117875808118757524674468542842137314833867768784643733456777448587558367642827167375835577561286286266422351687674563776616022820606855577845875884778556833858754458256746827222778278866528266454656444647885511211166651223881846684884265366663676711188424368863681768358843631364334746646722232243817153646876042778587884427222700058272866536885678845487877848857675857745534882875872657827478452676047746652687888566564468684285871581312321611467428635867727887746374853466853617622867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 164, 12, 48
