Genome, Fitness, Wins (X), Losses (X), Draws (X)
434635162458821057335246775334356276358235235686062340555457452432215566322076116786775777167476332451557585718314173353167372171477756276745587578882052267872203678877535545548458477262785428467724654677588721152663635765888066742844416144156576735788853733664477148887582783472818768725744561478862576663464240774666728873570052278028756576847778645778566358545545485876484824754745828662525268662876488728785115781266161233855844547475225266167571134673854375568671588337667364435334544346787854743821553646222022776778472466276687052426887876877676864484877118877518457446334882785677777588844442706077348662607788686668487688665371176172328665467723538267573511788874873454832665268762682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0, 204, 0, 44
434635162458821057335246775334356276358235235686062340555457452432215566322076116786775777167476332451557585718314173353167372171477756276745587578882052267872203678877535545548458477262785428467724654677588721152663635765888066742844416144156576735788853733664477148887582783472818768725744561478862576663464240774666728873570052278028756576847778645778566358545545485876484824754745828662525268662876488728785115781266161233855844547475225266167571134673854375568671588337667364435334544346787854743821553646222022776778472466276687052426887876877676864484877118877518457446334882785677777588844442706077348662607788686668487688665371176172328665467723538267573511788874873454832665268762682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0, 204, 0, 44
424024566300003052885673567881773748248437220252650208864386677435653388246848115171845724468434473378733175114572175226367425210877637378376704868342620726206585765685858364366424472652286647846748454676528828278678150664486558883117416763435485783661678353688578746725834815432118715121235751486238702743674650848826576076766032022600858564448745446834765353578753325828786747452746676862575824664754444766758111728186666133788854688475820315123516711183834877668681163637648661434354735548733853341831133756273022875577482227626760678202787536377686545447457117857575457776334822777872672828848454706074348666887738682568887688685378186372568611367728658287723587748874373554852667662782686867588768447418775548278278440748888871136478267518746584999999999999999, 0.03333333333333333, 180, 8, 52
424024566300003052885673567881773748248437220252650208864386677435653388246848115171845724468434473378733175114572175226367425210877637378376704868342620726206585765685858364366424472652286647846748454676528828278678150664486558883117416763435485783661678353688578746725834815432118715121235751486238702743674650848826576076766032022600858564448745446834765353578753325828786747452746676862575824664754444766758111728186666133788854688475820315123516711183834877668681163637648661434354735548733853341831133756273022875577482227626760678202787536377686545447457117857575457776334822777872672828848454706074348666887738682568887688685378186372568611367728658287723587748874373554852667662782686867588768447418775548278278440748888871136478267518746584999999999999999, 0.03333333333333333, 180, 8, 52
414623835526506555335238388418877276356557877586062340555457452432215548884416566881127450736654388726857818733314173657167372171477787826745587578374826006082033678877738758558458477262785428467728426677588721152673635775888066544614637761125476733788853733664467148887584762472318768725845561478633576663436680682826776088010052276028785684478746655378566378543764385776846824724746868825726626452776488728387811711266161683858416688575225266127571134678823587877571185554477665334333544346687854741327553741676862856778478722672607600022887836375588865847454847875518847776534882785877777887848444604077348562688886586668467674285358176172361515447423538267573511788877873464853515268767646867588768447418775548278278440748888871136478267518746584999999999999999, 0.08771929824561403, 180, 20, 28
414623835526506555335238388418877276356557877586062340555457452432215548884416566881127450736654388726857818733314173657167372171477787826745587578374826006082033678877738758558458477262785428467728426677588721152673635775888066544614637761125476733788853733664467148887584762472318768725845561478633576663436680682826776088010052276028785684478746655378566378543764385776846824724746868825726626452776488728387811711266161683858416688575225266127571134678823587877571185554477665334333544346687854741327553741676862856778478722672607600022887836375588865847454847875518847776534882785877777887848444604077348562688886586668467674285358176172361515447423538267573511788877873464853515268767646867588768447418775548278278440748888871136478267518746584999999999999999, 0.08771929824561403, 180, 20, 28
414635162458821074324138385331832276358235235222262340555442442737215548882011487486775778767454353853317674474113457363838473331827576225566748378882002267882203678877535545548458477262785428577284627476588721152673635775888066542844411143833576733788353733664467148887582283632331358335813651478862576663464240764666728873570552278028756576847778645774556538545545485876846824754745828672565868662756488728885115781266161233855844548475625266863411134183854375568671588337667364435334734358622254343821553646222523678767472466276687052426866536375686864484877118775578857775357522887882677887878842706077348662607788682568487674285871576113568611467463635267727517786374375466533617668862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.10294117647058823, 196, 28, 48
414635162458821074324138385331832276358235235222262340555442442737215548882011487486775778767454353853317674474113457363838473331827576225566748378882002267882203678877535545548458477262785428577284627476588721152673635775888066542844411143833576733788353733664467148887582283632331358335813651478862576663464240764666728873570552278028756576847778645774556538545545485876846824754745828672565868662756488728885115781266161233855844548475625266863411134183854375568671588337667364435334734358622254343821553646222523678767472466276687052426866536375686864484877118775578857775357522887882677887878842706077348662607788682568487674285871576113568611467463635267727517786374375466533617668862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.10294117647058823, 196, 28, 48
414035162458821076364166575331832276356235235626062340555457452432215562322071687486775778167476633853317674474113457363838473171827576225566748378882002267882203678877535545548458477262785428487764654677588721152673635775888066542844411143833576733788853733668467148887582783632838511133735461478862576663464240774666228873570052278028756574848778645774556538545545485876486824754745828662565868662776488728785115781266161233855844547475625266863511134183854375568671588337667364434334744346787854743821553646222523678767472466276687052426887576375686864484877118875575457446554582877882677887878842706077348662607788686564487578665371576313568611467468635267727517786854373554833567228867882867588768447418775548278278440748888871136478267518746584999999999999999, 0.10606060606060606, 200, 28, 36
414035162458821076364166575331832276356235235626062300555457452432215562322071687486775778167476633853317674474113457363838473171827576225566748378882802267882203678677535545545458477262785428487764654677588751152673635715888066542844411143733576733788853733568467148887583713632838511133735461478862573663464240774626228873570052278028756574848778645774556538545545485876486827754745828662765868662776488728785115781266161233855844547475625266863511134183854375568671583338667364434334744346787854743821553646222523678767472466276687052426887576375686864487877118875575457446554582877882677887878842706077348562607786686564487578665371576313568611467468635267727587786854373554833567228867882867588768447418775548278278440748888871136478267518746584999999999999999, 0.10606060606060606, 200, 28, 36
